RecordingDate,Liturgical Year,Week Number,PrimaryLiturgicalTitle
8/30/2026,Year A,41,Fourteenth Sunday after Pentecost
9/6/2026,Year A,42,Fifteenth Sunday after Pentecost
9/13/2026,Year A,43,Sixteenth Sunday after Pentecost
9/20/2026,Year A,44,Seventeenth Sunday after Pentecost
9/27/2026,Year A,45,Eighteenth Sunday after Pentecost
10/4/2026,Year A,46,Nineteenth Sunday after Pentecost
10/11/2026,Year A,47,Twentieth Sunday after Pentecost
10/18/2026,Year A,48,Twenty-first Sunday after Pentecost
10/25/2026,Year A,49,Twenty-second Sunday after Pentecost
11/1/2026,Year A,50,All Saints Day
11/8/2026,Year A,51,Twenty-fourth Sunday after Pentecost
11/15/2026,Year A,52,Twenty-fifth Sunday after Pentecost
11/22/2026,Year B,1,First Sunday of Advent
11/29/2026,Year B,2,Second Sunday of Advent
12/6/2026,Year B,3,Third Sunday of Advent
12/13/2026,Year B,4,Fourth Sunday of Advent
12/20/2026,Year B,5,Fifth Sunday of Advent
12/27/2026,Year B,6,First Sunday of Christmas
1/3/2027,Year B,7,Second Sunday of Christmas
1/10/2027,Year B,8,Baptism of Our Lord
1/17/2027,Year B,9,Second Sunday after Epiphany
1/24/2027,Year B,10,Third Sunday after Epiphany
1/31/2027,Year B,11,Fourth Sunday after Epiphany
2/7/2027,Year B,12,Fifth Sunday after Epiphany
2/14/2027,Year B,13,First Sunday in Lent
2/21/2027,Year B,14,Second Sunday in Lent
2/28/2027,Year B,15,Third Sunday in Lent
3/7/2027,Year B,16,Fourth Sunday in Lent
3/14/2027,Year B,17,Fifth Sunday in Lent
3/21/2027,Year B,18,Sixth Sunday in Lent
3/28/2027,Year B,19,Resurrection of Our Lord
4/4/2027,Year B,20,Third Sunday of Easter
4/11/2027,Year B,21,Fourth Sunday of Easter
4/18/2027,Year B,22,Fifth Sunday of Easter
4/25/2027,Year B,23,Sixth Sunday of Easter
5/2/2027,Year B,24,Seventh Sunday of Easter
5/9/2027,Year B,25,Eighth Sunday of Easter
5/16/2027,Year B,26,Day of Pentecost
5/23/2027,Year B,27,The Holy Trinity
5/30/2027,Year B,28,Second Sunday after Pentecost
6/6/2027,Year B,29,Third Sunday after Pentecost
6/13/2027,Year B,30,Fourth Sunday after Pentecost
6/20/2027,Year B,31,Fifth Sunday after Pentecost
6/27/2027,Year B,32,Sixth Sunday after Pentecost
7/4/2027,Year B,33,Seventh Sunday after Pentecost
7/11/2027,Year B,34,Eighth Sunday after Pentecost
7/18/2027,Year B,35,Ninth Sunday after Pentecost
7/25/2027,Year B,36,Tenth Sunday after Pentecost
8/1/2027,Year B,37,Eleventh Sunday after Pentecost
8/8/2027,Year B,38,Twelfth Sunday after Pentecost
8/15/2027,Year B,39,Thirteenth Sunday after Pentecost
8/22/2027,Year B,40,Fourteenth Sunday after Pentecost
8/29/2027,Year B,41,Fifteenth Sunday after Pentecost
9/5/2027,Year B,42,Sixteenth Sunday after Pentecost
9/12/2027,Year B,43,Seventeenth Sunday after Pentecost
9/19/2027,Year B,44,Eighteenth Sunday after Pentecost
9/26/2027,Year B,45,Nineteenth Sunday after Pentecost
10/3/2027,Year B,46,Twentieth Sunday after Pentecost
10/10/2027,Year B,47,Twenty-first Sunday after Pentecost
10/17/2027,Year B,48,Twenty-second Sunday after Pentecost
10/24/2027,Year B,49,Twenty-third Sunday after Pentecost
10/31/2027,Year B,50,Twenty-fourth Sunday after Pentecost
11/7/2027,Year B,51,All Saints Day
11/14/2027,Year B,52,Twenty-sixth Sunday after Pentecost
11/21/2027,Year C,1,First Sunday of Advent
11/28/2027,Year C,2,Second Sunday of Advent
12/5/2027,Year C,3,Third Sunday of Advent
12/12/2027,Year C,4,Fourth Sunday of Advent
12/19/2027,Year C,5,Fifth Sunday of Advent
12/26/2027,Year C,6,First Sunday of Christmas
1/2/2028,Year C,7,Second Sunday of Christmas
1/9/2028,Year C,8,Baptism of Our Lord
1/16/2028,Year C,9,Second Sunday after Epiphany
1/23/2028,Year C,10,Third Sunday after Epiphany
1/30/2028,Year C,11,Fourth Sunday after Epiphany
2/6/2028,Year C,12,Fifth Sunday after Epiphany
2/13/2028,Year C,13,Sixth Sunday after Epiphany
2/20/2028,Year C,14,Seventh Sunday after Epiphany
2/27/2028,Year C,15,Eighth Sunday after Epiphany
3/5/2028,Year C,16,First Sunday in Lent
3/12/2028,Year C,17,Second Sunday in Lent
3/19/2028,Year C,18,Third Sunday in Lent
3/26/2028,Year C,19,Fourth Sunday in Lent
4/2/2028,Year C,20,Fifth Sunday in Lent
4/9/2028,Year C,21,Sixth Sunday in Lent
4/16/2028,Year C,22,Resurrection of Our Lord
4/23/2028,Year C,23,Third Sunday of Easter
4/30/2028,Year C,24,Fourth Sunday of Easter
5/7/2028,Year C,25,Fifth Sunday of Easter
